,equity,drawdown,capital
2020-12-08,117819.08684978005,-0.028360691884789794,135269.8996477689
2020-12-09,119475.66009155252,-0.0146991390624512,135269.8996477689
2020-12-10,119452.8311034667,-0.014887406878657916,135269.8996477689
2020-12-11,122567.3598485581,0.0,135269.8996477689
2020-12-14,120757.81381871771,-0.014763686123909603,135269.8996477689
2020-12-15,118593.19747491086,-0.032424312464245285,135269.8996477689
2020-12-16,119121.16425356285,-0.028116748204850845,135269.8996477689
2020-12-17,118725.80884931736,-0.03134236556932689,135269.8996477689
2020-12-18,118997.26482607552,-0.029127616250311017,135269.8996477689
2020-12-21,117521.11309414556,-0.04117121198210997,135269.8996477689
2020-12-22,118565.46736393556,-0.03265055631097222,135269.8996477689
2020-12-23,119990.45738722922,-0.021024377652523886,135269.8996477689
2020-12-24,120567.6762876201,-0.0163149762172309,135269.8996477689
2020-12-25,116790.5345707791,-0.04713184068675983,135269.8996477689
2020-12-28,118881.96475337261,-0.03006832406065609,135269.8996477689
2020-12-29,119464.30060539526,-0.025317174547913306,135269.8996477689
2020-12-30,119148.36694500575,-0.027894807457522094,135269.8996477689
2020-12-31,119393.14091362657,-0.025897750745822828,135269.8996477689
2021-01-01,120890.7312222586,-0.013679242404920107,135269.8996477689
2021-01-04,118575.08065953881,-0.0325721235568105,135269.8996477689
2021-01-05,119197.11997330614,-0.02749704227468202,135269.8996477689
2021-01-06,116572.30041351837,-0.048912364943220696,135269.8996477689
2021-01-07,119252.25560732733,-0.027047202822406,135269.8996477689
2021-01-08,118347.20590654897,-0.0344313033031263,135269.8996477689
2021-01-11,119988.3298017883,-0.021041736151911867,135269.8996477689
2021-01-12,116911.9603161744,-0.046141154866772074,135269.8996477689
2021-01-13,115508.73872322014,-0.057589729713191644,135269.8996477689
2021-01-14,112547.68286212563,-0.08174833005143128,135269.8996477689
2021-01-15,112914.28599361355,-0.07875729612575245,135269.8996477689
2021-01-18,111545.87176902425,-0.08992188534657021,135269.8996477689
2021-01-19,111315.69348806218,-0.09179985906850129,135269.8996477689
2021-01-20,111945.83544917937,-0.08665867007743729,135269.8996477689
2021-01-21,113323.09170187697,-0.07542194070348889,135269.8996477689
2021-01-22,114573.23866180108,-0.06522226795644785,135269.8996477689
2021-01-25,115508.39693387438,-0.05759251829692379,135269.8996477689
2021-01-26,114851.82563875381,-0.06294933838288967,135269.8996477689
2021-01-27,115887.14609004364,-0.05450238764030172,135269.8996477689
2021-01-28,115022.11659710896,-0.061559972090219586,135269.8996477689
2021-01-29,117514.4257647467,-0.0412257724246872,135269.8996477689
2021-02-01,119650.48524452311,-0.023798135226532,135269.8996477689
2021-02-02,119276.78577583145,-0.02684706659907192,135269.8996477689
2021-02-03,117818.32538322298,-0.03874632260336632,135269.8996477689
2021-02-04,118457.75215943047,-0.033529380858047235,135269.8996477689
2021-02-05,120127.73744314346,-0.01990434001702407,135269.8996477689
2021-02-08,120733.11995860576,-0.014965157870893944,135269.8996477689
2021-02-09,121058.12356832414,-0.012313525249289425,135269.8996477689
2021-02-10,124290.41136409248,0.0,135269.8996477689
2021-02-11,124660.51370009418,0.0,135269.8996477689
2021-02-12,122838.26364185748,-0.01461770053844496,135269.8996477689
2021-02-15,123864.26555358047,-0.006387332467033691,135269.8996477689
2021-02-16,123996.02530474299,-0.005330383901271273,135269.8996477689
2021-02-17,123844.91368788992,-0.006542568997962058,135269.8996477689
2021-02-18,125066.55080424162,0.0,135269.8996477689
2021-02-19,123760.72591681575,-0.010441040222415605,135269.8996477689
2021-02-22,125334.3971108171,0.0,135269.8996477689
2021-02-23,129776.83769795277,0.0,135269.8996477689
2021-02-24,129553.49496925488,-0.0017209752730891765,135269.8996477689
2021-02-25,131053.21785587921,0.0,135269.8996477689
2021-02-26,128097.58491384496,-0.022552921556528254,135269.8996477689
2021-03-01,129576.37682891324,-0.011269017664183301,135269.8996477689
2021-03-02,129906.64353269144,-0.00874892155985573,135269.8996477689
2021-03-03,131724.69063336286,0.0,135269.8996477689
2021-03-04,130634.0338578821,-0.008279820360455062,135269.8996477689
2021-03-05,126496.16003503642,-0.03969286679047378,135269.8996477689
2021-03-08,127676.85053622494,-0.03072954719176004,135269.8996477689
2021-03-09,128962.30566157479,-0.020970897395969412,135269.8996477689
2021-03-10,127522.95692245656,-0.03189784459316916,135269.8996477689
2021-03-11,128723.96322392458,-0.022780295744177347,135269.8996477689
2021-03-12,127916.63649728005,-0.028909190203998954,135269.8996477689
2021-03-15,126588.94893162981,-0.03898845142121198,135269.8996477689
2021-03-16,126087.2499109342,-0.04279714528326112,135269.8996477689
2021-03-17,124843.96948031428,-0.05223562203839294,135269.8996477689
2021-03-18,125340.5222958612,-0.048465996061976664,135269.8996477689
2021-03-19,125292.66794544674,-0.04882928672665286,135269.8996477689
2021-03-22,122195.75137333616,-0.07233981127007665,135269.8996477689
2021-03-23,122390.91461415272,-0.07085821173184148,135269.8996477689
2021-03-24,121778.93261881427,-0.0755041288518278,135269.8996477689
2021-03-25,122006.273488799,-0.07377824990770873,135269.8996477689
2021-03-26,121270.90143757568,-0.07936089388802459,135269.8996477689
2021-03-29,123921.49073989657,-0.05923870351068346,135269.8996477689
2021-03-30,124397.85346086793,-0.05562235247823163,135269.8996477689
2021-03-31,126313.82405543099,-0.04107708700559605,135269.8996477689
2021-04-01,126394.04840606732,-0.040468056532640725,135269.8996477689
2021-04-02,126517.63216072806,-0.039529859190392154,135269.8996477689
2021-04-05,126913.40371635299,-0.036525323338214635,135269.8996477689
2021-04-06,130052.69060010798,-0.012693140710488798,135269.8996477689
2021-04-07,130811.31534953583,-0.006933971751501636,135269.8996477689
2021-04-08,131407.11520830335,-0.0024109027968297306,135269.8996477689
2021-04-09,131579.37690076037,-0.0011031624511986774,135269.8996477689
2021-04-12,131625.3026861193,-0.0007545126639939007,135269.8996477689
2021-04-13,131309.66476016046,-0.003150706759733907,135269.8996477689
2021-04-14,133021.62785475614,0.0,135269.8996477689
2021-04-15,132299.8357896963,-0.005426125636110361,135269.8996477689
2021-04-16,133242.3605443144,0.0,135269.8996477689
2021-04-19,133119.56123299644,-0.0009216236549421376,135269.8996477689
2021-04-20,134329.99014947563,0.0,135269.8996477689
2021-04-21,136363.22727559286,0.0,135269.8996477689
2021-04-22,136952.01576835715,0.0,135269.8996477689
2021-04-23,136805.14855590535,-0.0010723990561789486,135269.8996477689
2021-04-26,137271.57740382102,0.0,135269.8996477689
2021-04-27,137886.85958395834,0.0,135269.8996477689
2021-04-28,140521.70073717742,0.0,135269.8996477689
2021-04-29,140387.27634616956,-0.000956609479551378,135269.8996477689
2021-04-30,139351.5109165591,-0.008327466964031105,135269.8996477689
2021-05-03,139448.84620007558,-0.0076347961309437724,135269.8996477689
2021-05-04,141360.28082416038,0.0,135269.8996477689
